date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:07:09	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Jan%202021%2015:37:06%20GMT	https://hostelspaze.com/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.eot	(from https://hostelspaze.com/font-awesome-4.7.0/css/font-awesome.min.css)
21:07:09	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Jan%202021%2015:37:07%20GMT	https://hostelspaze.com/font-awesome-4.7.0/fonts/fontawesome-webfont.eot?	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/font-awesome-4.7.0/fonts/fontawesome-webfontd41d.eot	(from https://hostelspaze.com/font-awesome-4.7.0/css/font-awesome.min.css)
21:07:13	77160/77160	---M--	200	added ('OK')	font/woff2	date:Mon,%2004%20Jan%202021%2010:18:39%20GMT	https://hostelspaze.com/font-awesome-4.7.0/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff2	(from https://hostelspaze.com/font-awesome-4.7.0/css/font-awesome.min.css)
21:07:18	98024/98024	---M--	200	added ('OK')	font/woff	date:Mon,%2004%20Jan%202021%2010:18:35%20GMT	https://hostelspaze.com/font-awesome-4.7.0/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.woff	(from https://hostelspaze.com/font-awesome-4.7.0/css/font-awesome.min.css)
21:07:22	165548/165548	---M--	200	added ('OK')	font/ttf	date:Mon,%2004%20Jan%202021%2010:18:31%20GMT	https://hostelspaze.com/font-awesome-4.7.0/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.ttf	(from https://hostelspaze.com/font-awesome-4.7.0/css/font-awesome.min.css)
21:07:38	444379/444379	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2004%20Jan%202021%2010:18:27%20GMT	https://hostelspaze.com/font-awesome-4.7.0/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/font-awesome-4.7.0/fonts/fontawesome-webfont3e6e.svg	(from https://hostelspaze.com/font-awesome-4.7.0/css/font-awesome.min.css)
21:07:39	1223088/1223088	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Jan%202021%2010:19:41%20GMT	https://hostelspaze.com/img/bg-img-prev.jpg	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/img/bg-img-prev.jpg	(from https://hostelspaze.com/)
21:07:41	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Jan%202021%2015:37:39%20GMT	https://hostelspaze.com/img/bg-img-2.jpg	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/img/bg-img-2.2b.delayed	(from https://hostelspaze.com/css/style.css)
21:07:46	389125/389125	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Jan%202021%2010:19:06%20GMT	https://hostelspaze.com/img/bg-img-1.jpg	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/img/bg-img-1.jpg	(from https://hostelspaze.com/css/style.css)
21:07:48	8229/8229	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Jan%202021%2010:21:34%20GMT	https://hostelspaze.com/img_avatar/img_avatar.png	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/img_avatar/img_avatar.png	(from https://hostelspaze.com/ourteam.php)
21:07:49	2820/2820	---M--	200	added ('OK')	image/png	date:Mon,%2004%20Jan%202021%2010:21:37%20GMT	https://hostelspaze.com/img_avatar/img_avatar1.png	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/img_avatar/img_avatar1.png	(from https://hostelspaze.com/ourteam.php)
21:08:02	1595626/1595626	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Jan%202021%2010:18:59%20GMT	https://hostelspaze.com/img/bed2.jpg	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/img/bed2.jpg	(from https://hostelspaze.com/)
21:08:29	1989113/1989113	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Jan%202021%2010:20:17%20GMT	https://hostelspaze.com/img/hotel.jpg	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/img/hotel.jpg	(from https://hostelspaze.com/)
21:09:29	2623161/2623161	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Jan%202021%2010:19:31%20GMT	https://hostelspaze.com/img/bg-img-4.jpg	C:/Users/HP/Desktop/hostelspaze/hostelspaze.com/img/bg-img-4.jpg	(from https://hostelspaze.com/css/style.css)
